contrast_id,label,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch04_partner_safe_count_donation_current_control_vs_non_ch04_partner_safe_count_donation_current_control,ch04_partner_safe_count_donation_current_control,400,0.682629239037633,0.12639296155422927,1.2321005629748105,-0.682629239037633,0.006550001837313175,-0.010087499802466482
ch04_partner_unsafe_count_to_defense_vs_non_ch04_partner_unsafe_count_to_defense,ch04_partner_unsafe_count_to_defense,559,-8.428134944293255,-9.310138259356265,-7.609670872268582,8.428134944293255,-0.13218246836195266,0.10717352470033177
ch05_reckless_count_to_bidder_vs_non_ch05_reckless_count_to_bidder,ch05_reckless_count_to_bidder,1355,-8.372450999124148,-8.958878539426328,-7.768609690488526,8.372450999124148,-0.11901107039646248,0.11657195598766812
ch05_setter_pounce_count_vs_non_ch05_setter_pounce_count,ch05_setter_pounce_count,359,4.1018437380136525,3.1085824366476684,5.104142807231448,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_setter_pounce_count_before_certainty_vs_non_ch05_setter_pounce_count_before_certainty,ch05_setter_pounce_count_before_certainty,259,3.179426624872506,2.191145382399948,4.175106117202951,-3.179426624872506,0.0406949802168778,-0.037606177797620134
ch05_setter_pounce_count_sets_now_vs_non_ch05_setter_pounce_count_sets_now,ch05_setter_pounce_count_sets_now,134,6.068571160912319,4.184124751989521,8.01380722149303,-6.068571160912319,0.07298507332913022,-0.06429104440247835
