game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,20,5-5,1,2,bidder_partner,1000,347,0.347,13.978635787963867,26.697277069091797,12.71864128112793,0.10700000077486038,0.005763688590377569,-0.10123631218448281,0.4779999852180481,0.7262247800827026,0.24822479486465454,22.339641571044922,15.592345237731934,-6.747296333312988,16.213252351619303,0.0,15.70707079069689
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,21,6-0,1,2,bidder_partner,1000,312,0.312,13.978635787963867,23.29200553894043,9.313369750976562,0.10700000077486038,0.01923076994717121,-0.08776923082768917,0.4779999852180481,0.6474359035491943,0.16943591833114624,22.339641571044922,18.53483772277832,-3.8048038482666016,11.885421242564917,0.0,11.44657508842647
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,27,6-6,1,2,bidder_partner,1000,326,0.326,13.978635787963867,23.005859375,9.027223587036133,0.10700000077486038,0.033742330968379974,-0.07325766980648041,0.4779999852180481,0.6595091819763184,0.18150919675827026,22.339641571044922,17.536014556884766,-4.803627014160156,11.57489225268364,0.0,11.208603903651237
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,20,5-5,0,1,left_setter,1000,302,0.302,13.978635787963867,5.49618673324585,-8.482449054718018,0.10700000077486038,0.1754966825246811,0.06849668174982071,0.4779999852180481,0.32119205594062805,-0.15680792927742004,22.339641571044922,22.329833984375,-0.009807586669921875,10.735495164990425,9.951455518603325,0.0
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,20,5-5,2,3,right_setter,1000,313,0.313,13.978635787963867,6.931190013885498,-7.047445774078369,0.10700000077486038,0.16293929517269135,0.05593929439783096,0.4779999852180481,0.3354632556438446,-0.1425367295742035,22.339641571044922,22.25818634033203,-0.08145523071289062,9.032206013798714,8.319522365927696,0.0
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,9,3-3,1,2,bidder_partner,1000,316,0.316,13.978635787963867,20.269107818603516,6.290472030639648,0.10700000077486038,0.03164556995034218,-0.0753544308245182,0.4779999852180481,0.5696202516555786,0.09162026643753052,22.339641571044922,18.042739868164062,-4.296901702880859,7.960219003260136,0.0,7.583446849137545
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,22,6-1,1,2,bidder_partner,1000,338,0.338,13.978635787963867,8.2084321975708,-5.770203590393066,0.10700000077486038,0.1331360936164856,0.026136092841625214,0.4779999852180481,0.35207101702690125,-0.12592896819114685,22.339641571044922,22.115812301635742,-0.2238292694091797,7.290854200720787,6.661209359765053,0.0
0,9420,0,blanks,0,0,bidder,offense,0,0,0-0,12,4-2,1,2,bidder_partner,1000,327,0.327,13.978635787963867,8.549093246459961,-5.429542541503906,0.10700000077486038,0.15596330165863037,0.04896330088376999,0.4779999852180481,0.3792048990726471,-0.098795086145401,22.339641571044922,22.808889389038086,0.46924781799316406,6.907126411795616,6.413150981068611,0.0
0,9420,0,blanks,0,0,bidder,offense,1,4,2-1,5,2-2,1,2,bidder_partner,1000,308,0.308,0.23903629183769226,12.68211555480957,12.443079262971878,0.20900000631809235,0.07792207598686218,-0.13107793033123016,0.2199999988079071,0.44155845046043396,0.22155845165252686,20.84547996520996,20.964868545532227,0.11938858032226562,15.969443082809448,0.0,15.314053431153297
0,9420,0,blanks,0,0,bidder,offense,1,4,2-1,20,5-5,1,2,bidder_partner,1000,347,0.347,0.23903629183769226,10.620229721069336,10.381193429231644,0.20900000631809235,0.02593659982085228,-0.18306340649724007,0.2199999988079071,0.3573487102985382,0.1373487114906311,20.84547996520996,18.684070587158203,-2.161409378051758,13.585314609110355,0.0,12.669997576624155
