contrast_id,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,regret_delta_ci95_low,regret_delta_ci95_high,threshold_mass_delta,threshold_mass_delta_ci95_low,threshold_mass_delta_ci95_high
ch05_pounce_count_vs_other_same_decision,359,4.1018437380136525,3.1444330820341873,5.1759628792364705,-4.1018437380136525,-5.138165022068674,-3.1108332843310835,0.04940111375826315,0.03373258999006662,0.06579526365062734
ch05_pounce_sets_now_vs_other_same_decision,134,6.068571160912319,4.219104287852343,8.087687143438782,-6.068571160912319,-8.00516710643528,-4.214454510833012,0.07298507332913022,0.04227611728971685,0.10701492329114186
ch05_reckless_count_vs_nonreckless_same_decision,1355,-8.372450999124148,-8.97540012777289,-7.7914284101805675,8.372450999124148,7.790579563649801,8.944377420186374,-0.11901107039646248,-0.1287345936916583,-0.10948311807939996
ch04_safe_partner_count_vs_other_same_decision,400,0.682629239037633,0.1467387869227678,1.2317096571391446,-0.682629239037633,-1.2480887891110035,-0.1393317832201721,0.006550001837313175,-0.00402531233173795,0.018100315052084624
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,559,-8.428134944293255,-9.268463332229336,-7.612516224666788,8.428134944293255,7.612514572617996,9.305137270533152,-0.13218246836195266,-0.15153868468724066,-0.11485576847991333
