claim_label,decl_id,decl_name,action_n,decision_n,mean_regret,mean_threshold_gap,mean_threshold_mass,best_mean_rate
ch05_setter_pounce_count_before_certainty,0,blanks,58,58,0.8608880865162817,0.010775862068965518,0.8993965546632635,0.6379310344827587
ch05_setter_pounce_count_before_certainty,1,ones,41,41,1.0165490494705964,0.03780487761264894,0.8686585389986271,0.7804878048780488
ch05_setter_pounce_count_before_certainty,2,twos,33,33,0.7063826846353936,0.013333335067286636,0.8690909093076532,0.8181818181818182
ch05_setter_pounce_count_before_certainty,3,threes,32,32,0.9614267945289612,0.01093749888241291,0.8492187522351742,0.8125
ch05_setter_pounce_count_before_certainty,4,fours,62,62,1.256002249256257,0.0137903219269168,0.9094354829961254,0.6290322580645161
ch05_setter_pounce_count_before_certainty,5,fives,58,54,0.7950581682139429,0.0024137928568083666,0.9510344842384602,0.7413793103448276
ch05_setter_pounce_count_before_certainty,6,sixes,37,37,1.3791037936871116,0.02486486531592704,0.8487837805941298,0.6756756756756757
ch05_setter_pounce_count,0,blanks,71,71,0.7265544945085552,0.00894366183751066,0.9154929598452339,0.676056338028169
ch05_setter_pounce_count,1,ones,53,53,0.7863870005338576,0.02943396174682761,0.8909433984531546,0.8301886792452831
ch05_setter_pounce_count,2,twos,47,47,1.255900153454314,0.009361703345116148,0.9071276593715587,0.7872340425531915
ch05_setter_pounce_count,3,threes,48,48,1.1883449989060562,0.007291665921608607,0.8976041687031587,0.8125
ch05_setter_pounce_count,4,fours,98,95,1.228659099462081,0.008826530101347943,0.9392857139511984,0.6530612244897959
ch05_setter_pounce_count,5,fives,82,74,1.2808907904276035,0.003231707142620552,0.9576829286610208,0.7195121951219512
ch05_setter_pounce_count,6,sixes,54,54,0.9659772831256743,0.01703703734609816,0.8963888867033852,0.7407407407407407
ch05_setter_pounce_count_sets_now,0,blanks,26,26,0.3899425176473764,0.0013461548548478347,0.9507692295771378,0.7307692307692307
ch05_setter_pounce_count_sets_now,1,ones,19,19,0.0,0.026842104761224044,0.9531578954897428,1.0
ch05_setter_pounce_count_sets_now,2,twos,18,18,1.291177060869005,0.00750000278155009,0.920277777645323,0.8333333333333334
ch05_setter_pounce_count_sets_now,3,threes,21,21,0.825296455905551,0.001428570066179548,0.9597619062378293,0.9523809523809523
ch05_setter_pounce_count_sets_now,4,fours,42,41,0.6735050905318487,0.0030952394008636475,0.9482142843660855,0.7619047619047619
ch05_setter_pounce_count_sets_now,5,fives,21,20,1.4460790724981398,0.0,0.9633333342415946,0.7142857142857143
ch05_setter_pounce_count_sets_now,6,sixes,25,25,0.007661895751953125,0.0,0.9583999991416932,0.96
ch05_reckless_count_to_bidder,0,blanks,282,253,8.950819202982787,0.14079787331494562,0.4560992901200257,0.2801418439716312
ch05_reckless_count_to_bidder,1,ones,280,249,7.854181660359193,0.11671428552695683,0.45282142951286264,0.3107142857142857
ch05_reckless_count_to_bidder,2,twos,313,281,7.216025390825904,0.11621405730565516,0.4777635785902794,0.31629392971246006
ch05_reckless_count_to_bidder,3,threes,333,295,7.9236167903944805,0.11513513547868968,0.4503303303805602,0.2822822822822823
ch05_reckless_count_to_bidder,4,fours,225,196,6.563592577918122,0.10431111205783156,0.4731999994069338,0.31555555555555553
ch05_reckless_count_to_bidder,5,fives,254,237,4.877347065942494,0.08293307026276203,0.4817125987422865,0.3188976377952756
ch05_reckless_count_to_bidder,6,sixes,300,274,6.6511040469072755,0.08984999971153836,0.48106666640068096,0.28
ch04_partner_safe_count_donation_current_control,0,blanks,79,65,2.153665720661984,0.03791138987186589,0.4860759491124485,0.5189873417721519
ch04_partner_safe_count_donation_current_control,1,ones,87,77,1.98915919730033,0.03718390887410476,0.556206898678137,0.5977011494252874
ch04_partner_safe_count_donation_current_control,2,twos,100,89,1.1781616857647896,0.02379999866709113,0.5334999978728593,0.66
ch04_partner_safe_count_donation_current_control,3,threes,81,73,1.7840107914842205,0.03456790064588005,0.5124074079924159,0.6172839506172839
ch04_partner_safe_count_donation_current_control,4,fours,80,70,1.968583907186985,0.0492500027641654,0.4540624972665682,0.6625
ch04_partner_safe_count_donation_current_control,5,fives,93,82,1.2476093397345593,0.024193546504423184,0.49107527347301605,0.6881720430107527
ch04_partner_safe_count_donation_current_control,6,sixes,83,72,1.8196160549140838,0.035783131326358,0.45783132711896696,0.5542168674698795
ch04_partner_unsafe_count_to_defense,0,blanks,156,138,6.5880680566605845,0.09153846162371337,0.06967948754437459,0.3525641025641026
ch04_partner_unsafe_count_to_defense,1,ones,109,100,9.085312472007006,0.16486238457535932,0.09467889945270545,0.30275229357798167
ch04_partner_unsafe_count_to_defense,2,twos,108,97,7.004481691453192,0.1161111113615334,0.05537037077980737,0.32407407407407407
ch04_partner_unsafe_count_to_defense,3,threes,123,112,6.708874393284805,0.08548780548863294,0.05378048777640835,0.34959349593495936
ch04_partner_unsafe_count_to_defense,4,fours,123,116,8.038922590816894,0.1241056898881386,0.08556910589852226,0.2764227642276423
ch04_partner_unsafe_count_to_defense,5,fives,107,95,4.078415348847336,0.05593458004295826,0.05168224267104519,0.3364485981308411
ch04_partner_unsafe_count_to_defense,6,sixes,134,118,4.7671265417515345,0.06600746210080696,0.07018656638075611,0.3880597014925373
