game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,contract_threshold_q,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,8,3-2,1,2,bidder_partner,256,93,0.36328125,41.151893615722656,41.10928726196289,-0.042606353759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.058768291026353836,-0.0046597011387348175,0.042606353759765625,0.042606353759765625,0.0
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,11,4-1,1,2,bidder_partner,256,81,0.31640625,41.151893615722656,41.11312484741211,-0.038768768310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.05975726246833801,-0.003670729696750641,0.038768768310546875,0.038768768310546875,0.0
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,15,5-0,2,3,right_setter,256,69,0.26953125,41.151893615722656,41.17985916137695,0.027965545654296875,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.06279528141021729,-0.0006327107548713684,0.027965545654296875,0.0,0.027965545654296875
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,8,3-2,2,3,right_setter,256,83,0.32421875,41.151893615722656,41.17659378051758,0.024700164794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.0479438416659832,-0.015484150499105453,0.024700164794921875,0.0,0.024700164794921875
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,8,3-2,0,1,left_setter,256,80,0.3125,41.151893615722656,41.17578887939453,0.023895263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.05621367320418358,-0.007214318960905075,0.023895263671875,0.0,0.023895263671875
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,1,1-0,2,3,right_setter,256,83,0.32421875,41.151893615722656,41.12839889526367,-0.023494720458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.06645626574754715,0.003028273582458496,0.023494720458984375,0.023494720458984375,0.0
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,15,5-0,1,2,bidder_partner,256,92,0.359375,41.151893615722656,41.1290168762207,-0.022876739501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.0543610043823719,-0.009066987782716751,0.022876739501953125,0.022876739501953125,0.0
0,840700,6,sixes,0,0,bidder,offense,2,25,6-4,42.0,14,4-4,1,2,bidder_partner,256,82,0.3203125,41.151893615722656,41.17436981201172,0.0224761962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.06342799216508865,0.0604574978351593,-0.002970494329929352,0.0224761962890625,0.0,0.0224761962890625
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,8,3-2,1,2,bidder_partner,256,93,0.36328125,41.25937271118164,41.24005889892578,-0.019313812255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.0344395637512207,-0.0015428811311721802,0.019313812255859375,0.019313812255859375,0.0
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,11,4-1,1,2,bidder_partner,256,81,0.31640625,41.25937271118164,41.241634368896484,-0.01773834228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.03534632548689842,-0.0006361193954944611,0.01773834228515625,0.01773834228515625,0.0
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,8,3-2,0,1,left_setter,256,80,0.3125,41.25937271118164,41.27558135986328,0.016208648681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.03249901905655861,-0.0034834258258342743,0.016208648681640625,0.0,0.016208648681640625
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,11,4-1,0,1,left_setter,256,89,0.34765625,41.25937271118164,41.27409744262695,0.0147247314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.032229047268629074,-0.003753397613763809,0.0147247314453125,0.0,0.0147247314453125
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,14,4-4,1,2,bidder_partner,256,82,0.3203125,41.25937271118164,41.273948669433594,0.014575958251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.03187224268913269,-0.004110202193260193,0.014575958251953125,0.0,0.014575958251953125
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,2,1-1,1,2,bidder_partner,256,86,0.3359375,41.25937271118164,41.273441314697266,0.014068603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.031241122633218765,-0.004741322249174118,0.014068603515625,0.0,0.014068603515625
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,2,1-1,2,3,right_setter,256,95,0.37109375,41.25937271118164,41.246726989746094,-0.012645721435546875,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.036319296807050705,0.00033685192465782166,0.012645721435546875,0.012645721435546875,0.0
0,840700,6,sixes,0,0,bidder,offense,3,24,6-3,42.0,13,4-3,1,2,bidder_partner,256,85,0.33203125,41.25937271118164,41.246986389160156,-0.012386322021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.03598244488239288,0.03676437586545944,0.0007819309830665588,0.012386322021484375,0.012386322021484375,0.0
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,8,3-2,1,2,bidder_partner,256,93,0.36328125,41.265480041503906,41.24491500854492,-0.020565032958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.03425180912017822,-0.002323020249605179,0.020565032958984375,0.020565032958984375,0.0
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,11,4-1,1,2,bidder_partner,256,81,0.31640625,41.265480041503906,41.24681091308594,-0.01866912841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.03543725982308388,-0.001137569546699524,0.01866912841796875,0.01866912841796875,0.0
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,8,3-2,0,1,left_setter,256,80,0.3125,41.265480041503906,41.282405853271484,0.016925811767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.032664913684129715,-0.0039099156856536865,0.016925811767578125,0.0,0.016925811767578125
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,11,4-1,0,1,left_setter,256,89,0.34765625,41.265480041503906,41.280235290527344,0.0147552490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.033005718141794205,-0.0035691112279891968,0.0147552490234375,0.0,0.0147552490234375
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,14,4-4,1,2,bidder_partner,256,82,0.3203125,41.265480041503906,41.27950668334961,0.014026641845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.03269842267036438,-0.0038764066994190216,0.014026641845703125,0.0,0.014026641845703125
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,2,1-1,1,2,bidder_partner,256,86,0.3359375,41.265480041503906,41.27909851074219,0.01361846923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.032339051365852356,-0.0042357780039310455,0.01361846923828125,0.0,0.01361846923828125
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,2,1-1,2,3,right_setter,256,95,0.37109375,41.265480041503906,41.25320053100586,-0.012279510498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.03716360032558441,0.0005887709558010101,0.012279510498046875,0.012279510498046875,0.0
0,840700,6,sixes,0,0,bidder,offense,4,23,6-2,42.0,13,4-3,1,2,bidder_partner,256,85,0.33203125,41.265480041503906,41.25350570678711,-0.011974334716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0365748293697834,0.03728334605693817,0.0007085166871547699,0.011974334716796875,0.011974334716796875,0.0
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,8,3-2,1,2,bidder_partner,256,93,0.36328125,41.27153396606445,41.24838638305664,-0.0231475830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.0345575176179409,-0.00390726700425148,0.0231475830078125,0.0231475830078125,0.0
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,11,4-1,1,2,bidder_partner,256,81,0.31640625,41.27153396606445,41.25109100341797,-0.020442962646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.0359228290617466,-0.0025419555604457855,0.020442962646484375,0.020442962646484375,0.0
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,8,3-2,0,1,left_setter,256,80,0.3125,41.27153396606445,41.289955139160156,0.018421173095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.03389599174261093,-0.004568792879581451,0.018421173095703125,0.0,0.018421173095703125
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,11,4-1,0,1,left_setter,256,89,0.34765625,41.27153396606445,41.2871208190918,0.01558685302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.035494815558195114,-0.0029699690639972687,0.01558685302734375,0.0,0.01558685302734375
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,14,4-4,1,2,bidder_partner,256,82,0.3203125,41.27153396606445,41.28615188598633,0.014617919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.03529025614261627,-0.003174528479576111,0.014617919921875,0.0,0.014617919921875
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,2,1-1,1,2,bidder_partner,256,86,0.3359375,41.27153396606445,41.28557205200195,0.0140380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.03411606699228287,-0.004348717629909515,0.0140380859375,0.0,0.0140380859375
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,2,1-1,2,3,right_setter,256,95,0.37109375,41.27153396606445,41.25930404663086,-0.01222991943359375,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.039338741451501846,0.0008739568293094635,0.01222991943359375,0.01222991943359375,0.0
0,840700,6,sixes,0,0,bidder,offense,5,22,6-1,42.0,15,5-0,1,2,bidder_partner,256,92,0.359375,41.27153396606445,41.25946044921875,-0.012073516845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.03846478462219238,0.03518145531415939,-0.0032833293080329895,0.012073516845703125,0.012073516845703125,0.0
