game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
1,840701,6,sixes,84,15,3,3,3,right_setter,defense,22,1,1-1,4,1-1,-21.37310791015625,2-2,1.0,2-2,0.609375,1,3,3,True,4,8.670088768005371,21,10.305447578430176,10.30544662475586,8.508572578430176,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
1,840701,6,sixes,84,16,4,0,0,bidder,offense,38,1,6-3,3,6-3,8.647618293762207,6-6,0.0,6-6,0.0,1,2,2,True,1,1.4694294929504395,3,1.625678539276123,1.2846274375915527,1.625678539276123,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
1,840701,6,sixes,84,17,4,1,1,left_setter,defense,38,1,6-2,1,6-2,-7.545435905456543,6-2,1.0,6-2,0.0,1,1,1,False,1,1.5263164043426514,5,3.369809627532959,0.9505090713500977,3.369809627532959,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,multi_peak_pdf
1,840701,6,sixes,84,18,4,2,2,bidder_partner,offense,38,1,3-3,3,3-3,3.169468402862549,4-2,0.0,4-2,0.0,1,2,2,True,3,5.304021835327148,12,5.074578762054443,5.074578762054443,4.842156171798706,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
1,840701,6,sixes,84,19,4,3,3,right_setter,defense,38,1,2-2,3,1-0,-2.4816856384277344,2-2,1.0,2-2,0.0,2,1,1,True,3,4.652224063873291,11,4.2677812576293945,4.2677812576293945,3.6492621898651123,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
1,840701,6,sixes,84,20,5,0,0,bidder,offense,39,1,6-6,2,6-6,3.3990237712860107,6-6,0.0,6-6,0.0,1,1,1,False,0,0.49449458718299866,0,0.5697023868560791,0.48441028594970703,0.5697023868560791,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,high_variance_close_mean
1,840701,6,sixes,84,21,5,1,1,left_setter,defense,39,1,5-1,2,5-1,-5.102557182312012,5-2,1.0,5-2,0.0,1,2,2,True,2,2.9195868968963623,8,6.759851455688477,1.8601446151733398,6.759851455688477,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission
1,840701,6,sixes,84,22,5,2,2,bidder_partner,offense,39,1,4-2,2,4-2,2.3484387397766113,4-2,0.0,4-2,0.0,1,1,1,False,0,0.33177104592323303,0,0.33964014053344727,0.3240838050842285,0.33964014053344727,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,high_variance_close_mean
1,840701,6,sixes,84,23,5,3,3,right_setter,defense,39,1,2-1,2,2-1,-3.731996536254883,2-1,1.0,2-1,0.0,1,1,1,False,0,0.20280338823795319,0,0.24996638298034668,0.24996638298034668,0.15701007843017578,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,high_variance_close_mean
1,840701,6,sixes,84,24,6,0,0,bidder,offense,40,1,4-4,1,4-4,3.278038263320923,4-4,0.0,4-4,0.0,1,1,1,False,0,0.398196280002594,0,0.6191897392272949,0.3946084976196289,0.6191897392272949,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,
1,840701,6,sixes,84,25,6,1,1,left_setter,defense,40,1,5-2,1,5-2,-6.3034186363220215,5-2,1.0,5-2,0.0,1,1,1,False,0,0.06742865592241287,0,0.06902885437011719,0.06586647033691406,0.06902885437011719,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,
