game_id,game_idx,trump_id,trump_name,move_idx,player,active_player,team,global_domino_idx,domino,mean,std,threshold_mass,make_mass,set_mass,lower_tail_mass,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,converged,high_variance_close_mean,scalar_ev_lying_by_omission
sample_000_decl_0,0,0,blanks,0,0,0,offense,0,2-0,15.965287208557129,19.88876768012499,0.49400001764297485,0.4939999929629266,,0.04800000286195427,-12,0,17,36,40,36,-18.33000037400052,5.779284260097214,4,-1|7|18|41,42,1000,,False,False
sample_000_decl_0,0,0,blanks,0,0,0,offense,1,2-1,12.945836067199707,18.96461243100431,0.42899999022483826,0.4290000023320317,,0.0420000022277236,-12,-2,12,30,40,32,-17.710000335238874,5.906690933879393,6,-3|0|2|7|21|40,43,1000,,False,False
sample_000_decl_0,0,0,blanks,0,0,0,offense,2,5-0,15.273112297058105,23.147887744484375,0.534000039100647,0.5340000120922923,,0.11700000718701631,-19,-4,21,38,41,42,-25.630000361474227,5.769408011020251,1,41,,1000,,False,False
sample_000_decl_0,0,0,blanks,0,0,0,offense,3,5-3,15.290321350097656,18.608558310165044,0.4740000069141388,0.4740000138990581,,0.034000001614913344,-11,0,16,33,40,33,-17.200000366661698,5.8646872828559715,10,-3|0|3|6|11|17|27|33|38|41,44,1000,,False,False
sample_000_decl_0,0,0,blanks,0,0,0,offense,4,5-5,16.404911041259766,19.6895630739478,0.5290000438690186,0.5290000061504543,,0.05400000361260027,-14,2,19,35,40,33,-18.71000029705465,5.841010693903606,5,3|26|29|34|41,38,1000,,False,False
sample_000_decl_0,0,0,blanks,0,0,0,offense,5,6-0,20.396377563476562,18.3043782317557,0.5889999866485596,0.5889999875798821,,0.020000000949949026,-6,5,23,39,41,34,-13.310000413563102,5.554201582026495,3,32|38|41,9,1000,,False,True
sample_000_decl_0,0,0,blanks,0,0,0,offense,6,6-1,14.237166404724121,19.046020989365307,0.43299996852874756,0.4329999885521829,,0.040000002132728696,-11,0,13,32,40,32,-17.360000341665,5.792569191009578,7,-9|1|4|6|9|13|41,50,1000,,False,False
sample_000_decl_0,0,0,blanks,1,1,1,defense,7,0-0,2.993762731552124,24.163729083538747,0.7580000758171082,,0.7580000476446003,0.24200001824647188,-30,-17,3,24,39,41,-35.340000283904374,6.218321957380174,3,-29|15|41,70,1000,,True,True
sample_000_decl_0,0,0,blanks,1,1,1,defense,8,1-0,-17.271982192993164,17.67536817542194,0.4059999883174896,,0.40600002789869905,0.5940000367118046,-36,-31,-20,-9,7,22,-38.39000019966625,5.798042919272432,7,-39|-35|-33|-30|-27|-20|-14,25,1000,,False,False
sample_000_decl_0,0,0,blanks,1,1,1,defense,9,3-0,-17.362468719482422,17.738309207063413,0.39900001883506775,,0.399000026518479,0.6010000229580328,-36,-31,-20,-9,7,22,-38.42000020458363,5.7802788684728705,8,-39|-36|-35|-33|-30|-27|-20|-14,25,1000,,False,False
