label,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
bidder_lead_called_double,822,579,5.193631900850583,2.6942780949991114,0.35011557137498456,0.21155109495568086,0.44038929440389296,0.40145985401459855,0.49878345498783455,0.44282238442822386
bidder_lead_called_non_double,2054,1308,1.5816131864856664,5.120262295558667,0.32859785747174775,0.28782619245281443,0.24342745861733203,0.14313534566699124,0.3349561830574489,0.2263875365141188
bidder_lead_called_suit,2876,1705,2.613977367016947,4.426882944772869,0.3347479133926311,0.2660257299553722,0.2997218358831711,0.21696801112656466,0.38178025034770513,0.2882475660639777
bidder_lead_count,2614,1891,-1.7363342121378864,7.1648791684595095,0.28140015300974686,0.3292004590424372,0.18324407039020657,0.1610558530986993,0.220734506503443,0.25325172149961744
bidder_lead_noncount,11643,2714,-3.0016963279842304,5.550251898205606,0.24156617688524318,0.32449068069078213,0.19599759512153225,0.2009791290904406,0.2509662458129348,0.2846345443614189
bidder_lead_off_count,2063,1623,-3.6016117419552742,7.219630837821507,0.2551672322706284,0.3517474550821548,0.17886572952011634,0.15996122152205525,0.2142510906446922,0.23654871546291809
bidder_lead_off_suit,11381,2713,-4.130157884613792,6.204978617695656,0.2271680870332271,0.34034662998577075,0.16685704243915297,0.1877690888322643,0.21096564449521132,0.27651348739126613
bidder_lead_plan,14257,2761,-2.769694043434722,5.846291435586801,0.24886967787349124,0.32535421163075734,0.19365925510275653,0.19365925510275653,0.2454233008346777,0.2788805499053097
ch04_partner_safe_count_donation_current_control,603,528,14.155032570212832,1.7082255365045904,0.5002321730758593,0.11504975145228614,0.615257048092869,0.6169154228855721,0.6716417910447762,0.7097844112769486
ch04_partner_unsafe_count_to_defense,860,776,-14.922489669916848,6.585681542942604,0.06888953491200715,0.49254651140140066,0.3209302325581395,0.33488372093023255,0.4662790697674419,0.4848837209302326
ch05_reckless_count_to_bidder,1987,1785,-15.47265971862586,7.212615962518743,0.4670634122094806,0.5098062403566637,0.3064921992954202,0.29944640161046804,0.40463009562154,0.40865626572722696
ch05_setter_pounce_count,453,442,16.611464095288564,1.07491425419289,0.9203642391934826,0.07295805731249631,0.6534216335540839,0.7306843267108167,0.8388520971302428,0.8520971302428256
ch05_setter_pounce_count_before_certainty,321,317,13.990538670807624,0.9990612449870819,0.8927881628089234,0.09845794383378415,0.6417445482866043,0.7133956386292835,0.7881619937694704,0.8037383177570093
ch05_setter_pounce_count_sets_now,172,170,18.68696685251509,0.6369612781807433,0.9509593020518159,0.04072674408793276,0.7209302325581395,0.8372093023255814,0.9244186046511628,0.9302325581395349
closure_decline_trick,13738,6499,-9.252909186900087,3.9016117395647454,0.3990922988035015,0.38339823836232656,0.43004804192750035,0.42946571553355656,0.6349541417964769,0.6192313291599941
closure_sequence_decision,15593,7000,-6.42726401129391,3.6829801215494564,0.4390021164120983,0.3458423650764583,0.44891938690438016,0.44891938690438016,0.6547168601295453,0.6462515231193484
closure_slough_count,2706,2406,-11.098714611921197,6.116263996853431,0.36562269028339534,0.43305432358419377,0.37841832963784183,0.3736141906873614,0.5417590539541759,0.5399113082039911
closure_take_count,376,364,21.297930464980766,1.4141552145493792,0.8193218084745744,0.008710106413692553,0.6781914893617021,0.7207446808510638,0.898936170212766,0.9787234042553191
closure_take_trick,1855,1309,14.499266135594318,2.063809680420594,0.7345714287069247,0.06770619946931089,0.5886792452830188,0.5929919137466307,0.801078167115903,0.8463611859838275
follower_can_beat_opponent,5306,3733,11.073717867422284,1.1969677634770708,0.6756888428693121,0.10813512996399387,0.6526573690162081,0.6598190727478327,0.8041839427063702,0.8298153034300791
follower_count_into_opponent_control,5228,4654,-15.363549358320125,6.607941090183382,0.28972551638157873,0.49424445279517626,0.295141545524101,0.2934200459066565,0.43553940321346596,0.4254016832440704
follower_opponent_currently_winning,32617,14578,-8.27611772120222,3.4070607441938847,0.39828570983463,0.36881227566831976,0.44694484471287976,0.44694484471287976,0.620964527700279,0.6080878069718245
follower_partner_or_self_currently_winning,14462,6422,10.35014478505522,2.369339179065444,0.6298229846648193,0.11728564494685763,0.44406029594800167,0.44406029594800167,0.6358041764624534,0.6993500207440189
follower_safe_count_to_current_control,2057,1846,13.289496407208228,1.4214345731919176,0.6634175988615073,0.0958726299658606,0.6684491978609626,0.6742829363150219,0.7593582887700535,0.824501701507049
