game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,contract_threshold_q,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,0,0-0,1,2,bidder_partner,1000,337,0.337,-11.95231819152832,5.667335033416748,17.61965322494507,0.4350000023841858,0.1216617226600647,-0.3133382797241211,0.10199999809265137,0.25816023349761963,0.15616023540496826,22.16303253173828,19.39606285095215,-2.766969680786133,22.314638376235962,0.0,20.747946977615356
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,0,0-0,2,3,right_setter,1000,317,0.317,-11.95231819152832,-22.24793243408203,-10.295614242553711,0.4350000023841858,0.624605655670166,0.18960565328598022,0.10199999809265137,0.022082019597291946,-0.07991797849535942,22.16303253173828,17.526103973388672,-4.636928558349609,12.990850560367107,12.59126066789031,0.0
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,21,6-0,1,2,bidder_partner,1000,338,0.338,-11.95231819152832,-2.3024399280548096,9.64987826347351,0.4350000023841858,0.26035502552986145,-0.17464497685432434,0.10199999809265137,0.18934911489486694,0.08734911680221558,22.16303253173828,22.063575744628906,-0.099456787109375,12.26981920003891,0.0,11.396594315767288
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,15,5-0,1,2,bidder_partner,1000,320,0.32,-11.95231819152832,-2.796243190765381,9.15607500076294,0.4350000023841858,0.24375000596046448,-0.1912499964237213,0.10199999809265137,0.18125000596046448,0.07925000786781311,22.16303253173828,21.941911697387695,-0.22112083435058594,11.861075043678284,0.0,10.904825061559677
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,0,0-0,0,1,left_setter,1000,346,0.346,-11.95231819152832,-19.680971145629883,-7.7286529541015625,0.4350000023841858,0.5664739608764648,0.13147395849227905,0.10199999809265137,0.023121386766433716,-0.07887861132621765,22.16303253173828,17.680164337158203,-4.482868194580078,9.83217865228653,9.437785595655441,0.0
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,19,5-4,1,2,bidder_partner,1000,342,0.342,-11.95231819152832,-19.36993408203125,-7.41761589050293,0.4350000023841858,0.5789473652839661,0.14394736289978027,0.10199999809265137,0.02923976629972458,-0.07276023179292679,22.16303253173828,19.18414878845215,-2.978883743286133,9.58469183743,9.220890678465366,0.0
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,12,4-2,1,2,bidder_partner,1000,345,0.345,-11.95231819152832,-19.038837432861328,-7.086519241333008,0.4350000023841858,0.5797101259231567,0.14471012353897095,0.10199999809265137,0.05507246404886246,-0.04692753404378891,22.16303253173828,20.553234100341797,-1.6097984313964844,9.002895817160606,8.768258146941662,0.0
0,9430,0,blanks,0,0,bidder,offense,0,5,2-2,18.0,4,2-1,1,2,bidder_partner,1000,313,0.313,-11.95231819152832,-18.246788024902344,-6.294469833374023,0.4350000023841858,0.5686901211738586,0.13369011878967285,0.10199999809265137,0.0670926496386528,-0.034907348453998566,22.16303253173828,21.008163452148438,-1.1548690795898438,7.980444505810738,7.805907763540745,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,0,0-0,1,2,bidder_partner,1000,337,0.337,-18.85262107849121,-4.650450706481934,14.202170372009277,0.5740000009536743,0.31750741600990295,-0.25649258494377136,0.06700000166893005,0.17507418990135193,0.10807418823242188,21.107521057128906,20.912748336791992,-0.19477272033691406,17.84783810377121,0.0,16.565375179052353
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,19,5-4,1,2,bidder_partner,1000,342,0.342,-18.85262107849121,-27.915069580078125,-9.062448501586914,0.5740000009536743,0.7456140518188477,0.17161405086517334,0.06700000166893005,0.011695906519889832,-0.05530409514904022,21.107521057128906,15.50716495513916,-5.600356101989746,11.33162996172905,11.055109485983849,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,12,4-2,1,2,bidder_partner,1000,345,0.345,-18.85262107849121,-27.591983795166016,-8.739362716674805,0.5740000009536743,0.7507246136665344,0.1767246127128601,0.06700000166893005,0.023188406601548195,-0.04381159506738186,21.107521057128906,16.587190628051758,-4.520330429077148,10.944724794477224,10.725666819140315,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,0,0-0,0,1,left_setter,1000,346,0.346,-18.85262107849121,-26.05527687072754,-7.202655792236328,0.5740000009536743,0.7138728499412537,0.13987284898757935,0.06700000166893005,0.011560693383216858,-0.055439308285713196,21.107521057128906,16.77335548400879,-4.334165573120117,9.155777364969254,8.878580823540688,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,13,4-3,1,2,bidder_partner,1000,336,0.336,-18.85262107849121,-25.94065284729004,-7.088031768798828,0.5740000009536743,0.7321428656578064,0.15814286470413208,0.06700000166893005,0.02083333395421505,-0.046166667714715004,21.107521057128906,16.810766220092773,-4.296754837036133,9.131127092987299,8.900293754413724,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,21,6-0,1,2,bidder_partner,1000,338,0.338,-18.85262107849121,-11.621878623962402,7.230742454528809,0.5740000009536743,0.44378697872161865,-0.13021302223205566,0.06700000166893005,0.1124260351061821,0.045426033437252045,21.107521057128906,22.471294403076172,1.3637733459472656,8.987133011221886,0.0,8.336067900061607
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,0,0-0,2,3,right_setter,1000,317,0.317,-18.85262107849121,-26.089248657226562,-7.236627578735352,0.5740000009536743,0.6940063238143921,0.12000632286071777,0.06700000166893005,0.012618296779692173,-0.05438170488923788,21.107521057128906,17.60708999633789,-3.5004310607910156,8.980507856234908,8.708599331788719,0.0
0,9430,0,blanks,0,0,bidder,offense,1,11,4-1,18.0,15,5-0,1,2,bidder_partner,1000,320,0.32,-18.85262107849121,-12.276865005493164,6.575756072998047,0.5740000009536743,0.42500001192092896,-0.14899998903274536,0.06700000166893005,0.109375,0.042374998331069946,21.107521057128906,22.140708923339844,1.0331878662109375,8.4895059466362,0.0,7.744506001472473
