game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
9,9430,9,no-trump,30,9,2,1,1,left_setter,defense,17,0,1-1,5,1-1,6.466153621673584,1-1,0.8510000109672546,1-1,0.1379999965429306,1,1,1,True,5,20.67070960998535,60,18.82698565721512,17.396116107702255,13.305058404803276,no_trump_regime|setter_count_pressure,first_trick_public_belief_update|no_trump_lead_control_and_support|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,10,2,2,2,bidder_partner,offense,17,0,4-0,5,4-0,16.032302856445312,4-2,0.49399998784065247,2-0,0.0,1,2,3,True,5,15.22680377960205,34,27.706143379211426,20.403706818819046,27.706143379211426,no_trump_regime|partner_count_donation,first_trick_public_belief_update|no_trump_lead_control_and_support|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,11,2,3,3,right_setter,defense,17,0,5-1,5,5-1,-25.172157287597656,0-0,0.1860000044107437,0-0,0.8140000104904175,1,3,3,True,5,11.39741039276123,35,15.963272958993912,9.042874291539192,14.540580719709396,last_to_act|no_trump_regime,first_trick_public_belief_update|last_to_act_closure_policy|no_trump_lead_control_and_support,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,12,3,0,0,bidder,offense,18,0,6-2,4,6-6,9.927250862121582,6-2,0.335999995470047,6-2,0.0,3,1,1,True,4,22.241317749023438,60,33.31112414598465,15.990709096193314,30.71112424135208,no_trump_regime,first_trick_public_belief_update|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,13,3,1,1,left_setter,defense,18,0,3-1,4,5-3,-10.116527557373047,3-1,0.6449999809265137,3-1,0.35499998927116394,2,1,1,True,4,17.948087692260742,52,36.45015734434128,29.82080841064453,33.96015736460686,no_trump_regime|setter_count_pressure,first_trick_public_belief_update|no_trump_lead_control_and_support|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,14,3,2,2,bidder_partner,offense,18,0,4-2,4,4-2,13.039615631103516,2-0,0.44699999690055847,2-0,0.0,1,2,3,True,4,15.982121467590332,37,27.43867516517639,21.626101821660995,27.43867516517639,no_trump_regime|partner_count_donation,first_trick_public_belief_update|no_trump_lead_control_and_support|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,15,3,3,3,right_setter,defense,18,0,3-0,4,3-0,-22.192502975463867,0-0,0.2669999897480011,0-0,0.7329999804496765,1,2,2,True,4,13.711175918579102,37,17.39178228378296,12.079825431108475,16.05632784962654,last_to_act|no_trump_regime,first_trick_public_belief_update|last_to_act_closure_policy|no_trump_lead_control_and_support,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,16,4,0,0,bidder,offense,19,0,6-6,3,6-6,8.316607475280762,6-5,0.3330000042915344,6-5,0.0,1,2,2,True,3,23.23225212097168,57,35.415819972753525,16.752068176865578,32.63082006573677,late_hand|no_trump_regime,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,17,4,1,1,left_setter,defense,19,0,5-3,3,5-3,-9.97202205657959,5-3,0.5720000267028809,5-3,0.42800000309944153,1,1,1,True,3,19.036914825439453,53,39.06839793920517,27.78227347135544,36.228397846221924,late_hand|no_trump_regime|setter_count_pressure,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,18,4,2,2,bidder_partner,offense,19,0,5-0,3,5-0,12.103071212768555,2-0,0.47200000286102295,2-0,0.0,1,3,3,True,3,17.063596725463867,41,27.68927550315857,25.329275488853455,22.446491479873657,late_hand|no_trump_regime|partner_count_donation,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,19,4,3,3,right_setter,defense,19,0,4-3,3,4-3,-27.2150936126709,0-0,0.08900000154972076,0-0,0.9110000133514404,1,2,2,True,3,7.418923854827881,39,15.832831710577011,3.5001629143953323,14.030356854200363,last_to_act|late_hand|no_trump_regime,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,20,5,0,0,bidder,offense,25,0,6-5,2,6-5,2.3332059383392334,4-1,0.33000001311302185,6-5,0.328000009059906,1,2,1,True,2,21.035118103027344,45,43.37125104665756,19.73359927535057,40.02125096321106,late_hand|no_trump_regime,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,21,5,1,1,left_setter,defense,25,0,4-4,2,4-4,-11.534701347351074,4-4,0.3019999861717224,4-4,0.6980000138282776,1,1,1,True,2,17.255409240722656,43,36.67247796058655,15.73951917886734,33.18247789144516,late_hand|no_trump_regime|setter_count_pressure,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,22,5,2,2,bidder_partner,offense,25,0,3-3,2,3-3,6.318915843963623,2-0,0.5270000100135803,2-0,0.3009999990463257,1,2,2,True,2,18.6647891998291,42,29.358562469482422,26.72356241941452,22.29184126853943,late_hand|no_trump_regime,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,23,5,3,3,right_setter,defense,25,0,0-0,2,0-0,-8.038165092468262,0-0,0.33899998664855957,0-0,0.6610000133514404,1,1,1,True,1,20.717222213745117,44,42.14868927001953,19.968578100204468,38.84368920326233,last_to_act|late_hand|no_trump_regime,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
9,9430,9,no-trump,30,24,6,0,0,bidder,offense,26,0,4-1,1,4-1,-7.003263473510742,4-1,0.3440000116825104,4-1,0.656000018119812,1,1,1,False,1,20.880008697509766,44,41.95376127958298,20.29856112599373,38.67376118898392,late_hand|no_trump_regime,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
9,9430,9,no-trump,30,25,6,1,1,left_setter,defense,26,0,5-5,1,5-5,-0.5138954520225525,5-5,0.47600001096725464,5-5,0.5239999890327454,1,1,1,False,1,22.775192260742188,45,34.3759486079216,28.84700047969818,31.755948662757874,late_hand|no_trump_regime|setter_count_pressure,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support|setter_count_before_certainty,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
9,9430,9,no-trump,30,26,6,2,2,bidder_partner,offense,26,0,2-0,1,2-0,-23.94857406616211,2-0,0.0,2-0,1.0,1,1,1,False,0,5.7220458984375e-06,0,3.814697265625e-06,0.0,3.814697265625e-06,late_hand|no_trump_regime,first_trick_public_belief_update|late_trick_threshold_closure|no_trump_lead_control_and_support,large_lower_tail
9,9430,9,no-trump,30,27,6,3,3,right_setter,defense,26,0,5-4,1,5-4,24.30812644958496,5-4,1.0,5-4,0.0,1,1,1,False,0,1.9073486328125e-06,0,0.0,0.0,0.0,last_to_act|late_hand|no_trump_regime,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure|no_trump_lead_control_and_support,
