game_idx,seed,decl_id,decl_name,bid_value,bid_value_source,decision_idx,trick_idx,trick_position,actor,seat_role,team,partner_player,offense_score_before,defense_score_before,played_count_points_before,unplayed_count_points_public_before,current_trick_count_before,led_suit_before,led_suit_name_before,current_winner_before,current_winner_team_before,partner_currently_winning_before,opponent_currently_winning_before,actual_action_slot,actual_action_domino_id,actual_action_domino,candidate_slot,candidate_domino_id,candidate_domino,candidate_count_points,candidate_is_double,candidate_is_called_suit,candidate_can_follow_led,candidate_beats_current,candidate_would_win_trick_now,candidate_trick_rank,actor_hand_remaining_count,actor_hand_remaining_count_points,actor_hand_remaining_called_suit_count,actor_hand_remaining_double_count,legal_action_count,threshold_q,mean,std,threshold_mass,lower_tail_mass_le_neg18,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,mean_rank_desc,threshold_rank_desc,lower_tail_rank_asc,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,is_actual_action,is_top_mean_action,is_top_threshold_action,is_safest_lower_tail_action,high_variance_close_mean,scalar_ev_lying_by_omission,distribution_shape_tags,strategy_context_tags,matched_position_detectors,direct_label_readiness,missing_direct_label_fields,hidden_threat_available,hidden_threat_rows,top_hidden_impact_holder,top_hidden_impact_domino,top_hidden_impact_score,top_hidden_downside_holder,top_hidden_downside_domino,top_hidden_downside_score,top_hidden_upside_holder,top_hidden_upside_domino,top_hidden_upside_score
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,0,5,2-2,0,True,False,,,True,,7,15,0,2,7,18.0,-11.95231819152832,22.16303253173828,0.10199999809265137,0.4350000023841858,-41,-32,-14,3,18,35,-41.699999999999996,6.044478016109171,5,-42|-32|-20|-18|1,43,1000,1,1,1,0.0,0.0,0.0,True,True,True,True,True,True,scalar_ev_lying_by_omission|high_variance_close_mean|multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,22.314638376235962,3,0-0,12.59126066789031,2,0-0,20.747946977615356
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,1,11,4-1,5,False,False,,,True,,7,15,0,2,7,18.0,-18.85262107849121,21.107521057128906,0.06700000166893005,0.5740000009536743,-42,-39,-22,-6,9,33,-42.0,5.654448306815519,5,-42|-24|-20|-18|-9,33,1000,6,6,6,6.900302886962891,0.034999996423721313,0.13899999856948853,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,17.84783810377121,2,5-4,11.055109485983849,2,0-0,16.565375179052353
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,2,23,6-2,0,False,False,,,True,,7,15,0,2,7,18.0,-18.036012649536133,21.97600746154785,0.0729999989271164,0.5289999842643738,-42,-40,-19,-4,10,36,-42.0,5.580283385030513,5,-42|-19|-16|-11|-10,32,1000,5,5,5,6.0836944580078125,0.028999999165534973,0.09399998188018799,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,23.38852623105049,3,0-0,13.087118269409984,2,0-0,21.485366091132164
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,3,24,6-3,0,False,False,,,True,,7,15,0,2,7,18.0,-17.081035614013672,22.08360481262207,0.07500000298023224,0.5049999952316284,-42,-40,-18,-3,12,37,-42.0,5.655538235543851,5,-42|-18|-15|-9|-6,36,1000,3,3,3,5.128717422485352,0.02699999511241913,0.06999999284744263,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,23.468204766511917,3,0-0,13.180656769312918,2,0-0,21.5515134036541
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,4,25,6-4,10,False,False,,,True,,7,15,0,2,7,18.0,-23.319194793701172,21.440488815307617,0.06700000166893005,0.6740000247955322,-42,-41,-32,-11,7,30,-42.0,5.277861740376249,2,-42|-36,6,1000,7,7,7,11.366876602172852,0.034999996423721313,0.23900002241134644,False,False,False,False,False,False,multi_peak_pdf|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,20.269851803779602,2,6-1,16.688589529134333,2,0-0,18.769287884235382
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,5,26,6-5,0,False,False,,,True,,7,15,0,2,7,18.0,-16.131389617919922,22.63665199279785,0.08500000089406967,0.4869999885559082,-42,-39,-17,-1,15,38,-42.0,5.700179011449487,3,-42|-18|-9,33,1000,2,2,2,4.179071426391602,0.016999997198581696,0.05199998617172241,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,23.551812276244164,3,0-0,12.92926130630076,2,0-0,21.710284158587456
0,9430,0,blanks,30,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,5,2-2,6,27,6-6,0,True,False,,,True,,7,15,0,2,7,18.0,-17.451980590820312,22.243459701538086,0.07400000095367432,0.5210000276565552,-42,-40,-19,-3,12,37,-42.0,5.61082553165468,3,-42|-19|-11,31,1000,4,4,4,5.499662399291992,0.02799999713897705,0.08600002527236938,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,0-0,23.075106889009476,3,0-0,12.890152248553932,2,0-0,21.19710974395275
0,9430,0,blanks,30,schema_v2_bid_value,1,0,1,1,left_setter,defense,3,0,0,0,35,0,2,2,0,offense,False,True,3,17,5-2,3,17,5-2,0,False,False,True,False,False,23,7,10,0,3,1,-17.0,-14.996599197387695,23.535964965820312,0.4740000069141388,0.515999972820282,-42,-38,-19,-1,21,37,-42.0,5.785834073444173,2,-42|-19,23,1000,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_offline_label_ready|needs_real_bid_margin,bid_margin,True,8,3,0-0,21.158482186496258,0,0-0,11.088662922382355,3,0-0,19.62651727348566
0,9430,0,blanks,30,schema_v2_bid_value,2,0,2,2,bidder_partner,offense,0,0,0,0,35,0,2,2,0,offense,True,False,4,12,4-2,1,4,2-1,0,False,False,True,False,False,19,7,5,4,1,2,18.0,30.703245162963867,12.556025505065918,0.8209999799728394,0.0,11,21,37,41,41,20,4.1999999999999975,4.4905136247101645,4,19|31|36|41,22,1000,2,2,1,4.340261459350586,0.11300003528594971,0.0,False,False,False,True,False,False,multi_peak_pdf|wide_shelf_gap|hidden_threat_large_impact,first_trick|partner_third_seat_support,partner_third_seat_safe_donation,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,0,0-0,7.188383936882019,1,0-0,4.639262080192566,0,0-0,7.188383936882019
0,9430,0,blanks,30,schema_v2_bid_value,2,0,2,2,bidder_partner,offense,0,0,0,0,35,0,2,2,0,offense,True,False,4,12,4-2,4,12,4-2,0,False,False,True,False,False,22,7,5,4,1,2,18.0,35.04350662231445,9.022583961486816,0.9340000152587891,0.0,19,30,40,41,41,11,15.239999999999995,3.655132945212487,3,19|30|41,22,1000,1,1,2,0.0,0.0,0.0,True,True,True,False,True,True,scalar_ev_lying_by_omission|high_variance_close_mean|multi_peak_pdf|wide_shelf_gap|hidden_threat_large_impact,first_trick|partner_third_seat_support,partner_third_seat_safe_donation,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,0,0-0,6.2851022481918335,1,0-0,5.879911959171295,0,0-0,6.2851022481918335
