game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,3653443310,0,0,0,0,0,1,31,2,42,0,1,1,0
0,1,316961218,0,1,0,0,0,1,31,4,23,19,0,1,1
0,2,3470548083,0,2,0,0,3,0,30,6,6,36,1,1,2
0,3,2281549639,0,3,0,0,0,1,30,4,34,8,1,2,2
0,4,1945490058,0,0,0,0,1,0,30,4,35,7,0,3,2
0,5,756491614,0,1,0,0,2,1,30,5,18,24,0,3,3
0,6,3910078479,0,2,0,0,3,0,30,4,33,9,0,4,3
0,7,1426535250,0,3,0,0,1,0,30,4,1,41,1,4,4
0,8,2385020454,0,0,0,0,0,1,31,5,24,18,0,4,5
0,9,4196444521,0,1,0,0,0,1,31,5,22,20,0,4,6
0,10,54641579,0,2,0,0,3,0,30,5,24,18,0,5,6
0,11,1866065646,0,3,0,0,2,1,31,6,25,17,0,5,7
1,0,4204291657,0,0,0,0,0,1,31,0,13,29,0,0,1
1,1,3868232076,0,1,0,0,3,0,30,5,13,29,0,1,1
1,2,3532172495,0,2,0,0,3,0,30,4,0,42,1,1,2
1,3,295029290,0,3,0,0,1,0,30,6,24,18,0,2,2
1,4,1201793620,0,0,0,0,1,0,30,2,23,19,0,3,2
1,5,12795176,0,1,0,0,0,1,31,4,42,0,1,4,2
1,6,3971702891,0,2,0,0,0,1,31,5,31,11,1,5,2
1,7,1488159662,0,3,0,0,2,1,31,3,24,18,0,5,3
1,8,1641324016,0,0,0,0,2,1,31,0,35,7,1,6,3
1,9,3452748083,0,1,0,0,2,1,30,4,19,23,0,6,4
1,10,116265991,0,2,0,0,2,1,32,0,13,29,0,6,5
1,11,1927690058,0,3,0,0,2,1,31,5,19,23,0,6,6
1,12,2080854412,0,0,0,0,0,1,31,4,30,12,0,6,7
2,0,1172885395,0,0,0,0,0,1,32,4,20,22,0,0,1
2,1,2079649725,0,1,0,0,2,1,30,3,41,1,1,1,1
2,2,1743590144,0,2,0,0,3,0,30,1,8,34,1,1,2
2,3,2801414235,0,3,0,0,2,1,31,4,25,17,0,1,3
2,4,2465354654,0,0,0,0,2,1,31,6,30,12,0,1,4
2,5,1276356210,0,1,0,0,3,0,30,6,34,8,0,2,4
2,6,2183120540,0,2,0,0,0,1,31,4,28,14,0,2,5
2,7,3240944631,0,3,0,0,2,1,31,6,30,12,0,2,6
2,8,2904885050,0,0,0,0,1,0,30,4,21,21,0,3,6
2,9,2568825469,0,1,0,0,3,0,30,0,6,36,1,3,7
3,0,2576672605,0,0,0,0,2,1,31,1,15,27,0,0,1
3,1,93129376,0,1,0,0,0,1,31,6,30,12,0,0,2
3,2,4052037091,0,2,0,0,2,1,32,1,36,6,1,1,2
3,3,2057717797,0,3,0,0,1,0,30,6,23,19,0,2,2
3,4,1721658216,0,0,0,0,1,0,30,5,18,24,0,3,2
3,5,532659772,0,1,0,0,3,0,30,0,7,35,1,3,3
3,6,196600191,0,2,0,0,3,0,30,2,0,42,1,3,4
3,7,2497248193,0,3,0,0,2,1,31,6,12,30,0,3,5
3,8,2161188612,0,0,0,0,0,1,31,2,42,0,1,4,5
