label,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
bidder_lead_called_double,37,29,1.194802883106309,2.030114722010252,0.295810808603828,0.26635135184168013,0.4864864864864865,0.40540540540540543,0.5135135135135135,0.35135135135135137
bidder_lead_called_non_double,114,75,-0.1979819930959166,6.397953323366349,0.30675438683676093,0.32004385846748684,0.19298245614035087,0.07017543859649122,0.23684210526315788,0.09649122807017543
bidder_lead_called_suit,151,92,0.14329642027813866,5.327688235616842,0.3040728477995522,0.30688741644659384,0.26490066225165565,0.152317880794702,0.304635761589404,0.15894039735099338
bidder_lead_count,99,84,-6.6049063753411925,8.015116445343903,0.2174242426725951,0.398434342374329,0.16161616161616163,0.12121212121212122,0.20202020202020202,0.1717171717171717
bidder_lead_noncount,681,149,-3.6700470601311075,5.274593893364728,0.23069750372643164,0.3316960351763186,0.19383259911894274,0.2011747430249633,0.23348017621145375,0.2687224669603524
bidder_lead_off_count,81,71,-8.027179028493938,7.661664246776958,0.20104938308581893,0.4154938271637132,0.16049382716049382,0.12345679012345678,0.20987654320987653,0.16049382716049382
bidder_lead_off_suit,629,148,-5.047417390413452,5.693186082499656,0.21099364077035687,0.34815580280873754,0.17170111287758347,0.20031796502384738,0.21144674085850557,0.27980922098569155
bidder_lead_plan,780,149,-4.042548434753926,5.622429448039008,0.22901282059267544,0.34016666647452765,0.18974358974358974,0.191025641025641,0.22948717948717948,0.2564102564102564
ch04_partner_safe_count_donation_current_control,54,40,17.815964539845783,1.7108266265304,0.5205555566483073,0.07055555654827643,0.5555555555555556,0.5740740740740741,0.6111111111111112,0.7037037037037037
ch04_partner_unsafe_count_to_defense,46,42,-14.06520677357912,9.180300082849419,0.07054347767616095,0.5294565208580183,0.34782608695652173,0.34782608695652173,0.41304347826086957,0.4782608695652174
ch05_reckless_count_to_bidder,110,101,-18.021994493766265,6.410202424147759,0.42209090946919536,0.5656363626857372,0.3,0.3090909090909091,0.42727272727272725,0.42727272727272725
ch05_setter_pounce_count,22,21,14.478946066990664,0.871325817975131,0.8984090902588584,0.09659090942957184,0.7272727272727273,0.8636363636363636,0.8636363636363636,0.8636363636363636
ch05_setter_pounce_count_before_certainty,15,15,8.719852684345096,0.054418786366780596,0.8509999990463257,0.14166666716337203,0.8,0.9333333333333333,0.8,0.8
