game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,5,7,0
1,0,7,7,0,1
2,0,9,7,2,1
3,0,10,7,3,1
4,0,12,7,5,1
5,0,7,7,0,1
6,0,12,7,5,1
7,0,11,7,4,1
8,0,10,7,3,1
9,0,8,7,1,1
10,0,13,7,6,1
11,0,8,7,1,1
12,0,7,7,0,1
13,0,10,7,3,1
14,0,11,7,4,1
15,0,10,7,3,1
16,0,12,7,5,1
17,0,12,7,5,1
18,0,9,7,2,1
19,0,11,7,4,1
20,0,9,7,2,1
21,0,7,7,0,1
22,0,9,7,2,1
23,0,11,7,4,1
24,0,11,7,4,1
25,0,7,7,0,1
26,0,13,7,6,1
27,0,10,3,7,0
28,0,10,7,3,1
29,0,11,7,4,1
30,0,10,7,3,1
31,0,9,7,2,1
32,0,9,7,2,1
33,0,10,7,3,1
34,0,10,7,3,1
35,0,9,7,2,1
36,0,9,7,2,1
37,0,9,7,2,1
38,0,12,5,7,0
39,0,13,7,6,1
40,0,13,7,6,1
41,0,12,7,5,1
42,0,12,7,5,1
43,0,9,7,2,1
44,0,10,7,3,1
45,0,13,7,6,1
46,0,9,7,2,1
47,0,13,7,6,1
48,0,10,7,3,1
49,0,13,7,6,1
50,0,13,7,6,1
51,0,10,3,7,0
52,0,12,7,5,1
53,0,12,7,5,1
54,0,9,7,2,1
55,0,11,7,4,1
56,0,12,7,5,1
57,0,12,7,5,1
58,0,11,7,4,1
59,0,9,7,2,1
60,0,8,7,1,1
61,0,10,7,3,1
62,0,8,7,1,1
63,0,11,7,4,1
64,0,9,7,2,1
65,0,12,7,5,1
66,0,11,7,4,1
67,0,9,7,2,1
68,0,9,7,2,1
69,0,11,7,4,1
70,0,9,7,2,1
71,0,13,7,6,1
72,0,11,7,4,1
73,0,9,7,2,1
74,0,10,7,3,1
75,0,10,7,3,1
76,0,10,7,3,1
77,0,12,5,7,0
78,0,9,7,2,1
79,0,9,7,2,1
80,0,12,7,5,1
81,0,13,7,6,1
82,0,9,7,2,1
83,0,9,7,2,1
84,0,12,5,7,0
85,0,11,7,4,1
86,0,12,7,5,1
87,0,10,7,3,1
88,0,11,7,4,1
89,0,13,7,6,1
90,0,13,7,6,1
91,0,9,7,2,1
92,0,9,7,2,1
93,0,10,3,7,0
94,0,11,7,4,1
95,0,7,7,0,1
96,0,9,7,2,1
97,0,12,7,5,1
98,0,13,7,6,1
99,0,11,7,4,1
100,0,8,7,1,1
101,0,11,7,4,1
102,0,11,4,7,0
103,0,11,7,4,1
104,0,8,7,1,1
105,0,9,7,2,1
106,0,12,7,5,1
107,0,9,7,2,1
108,0,8,7,1,1
109,0,9,7,2,1
110,0,7,7,0,1
111,0,12,7,5,1
112,0,9,7,2,1
113,0,9,7,2,1
114,0,8,7,1,1
115,0,10,7,3,1
116,0,13,6,7,0
117,0,8,7,1,1
118,0,7,7,0,1
119,0,11,7,4,1
120,0,9,7,2,1
121,0,8,7,1,1
122,0,9,7,2,1
123,0,9,7,2,1
124,0,8,7,1,1
125,0,9,7,2,1
126,0,13,7,6,1
127,0,10,7,3,1
0,1,10,7,3,1
1,1,12,7,5,1
2,1,9,2,7,0
3,1,10,7,3,1
4,1,10,7,3,1
5,1,13,6,7,0
6,1,13,7,6,1
7,1,8,7,1,1
8,1,8,7,1,1
9,1,10,3,7,0
10,1,10,7,3,1
11,1,11,7,4,1
12,1,13,7,6,1
13,1,12,7,5,1
14,1,10,7,3,1
15,1,8,7,1,1
16,1,10,7,3,1
17,1,9,7,2,1
18,1,13,7,6,1
19,1,11,7,4,1
20,1,10,7,3,1
21,1,12,7,5,1
22,1,10,7,3,1
23,1,11,7,4,1
24,1,11,4,7,0
25,1,10,7,3,1
26,1,8,7,1,1
27,1,10,7,3,1
28,1,10,7,3,1
29,1,7,7,0,1
30,1,9,7,2,1
31,1,12,7,5,1
32,1,11,7,4,1
33,1,10,3,7,0
34,1,10,7,3,1
35,1,9,7,2,1
36,1,10,7,3,1
37,1,13,6,7,0
38,1,8,7,1,1
39,1,8,7,1,1
40,1,8,7,1,1
41,1,11,7,4,1
42,1,9,7,2,1
43,1,9,7,2,1
44,1,12,7,5,1
45,1,9,7,2,1
46,1,9,7,2,1
47,1,7,7,0,1
48,1,9,7,2,1
49,1,11,7,4,1
50,1,10,7,3,1
51,1,8,7,1,1
52,1,10,7,3,1
53,1,8,7,1,1
54,1,13,6,7,0
55,1,11,7,4,1
56,1,13,7,6,1
57,1,9,7,2,1
58,1,12,5,7,0
59,1,12,7,5,1
60,1,12,5,7,0
61,1,9,7,2,1
62,1,9,2,7,0
63,1,10,7,3,1
64,1,10,7,3,1
65,1,9,7,2,1
