claim_label,slice_name,slice_value,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch05_setter_pounce_count_before_certainty,candidate_beats_current,true,321,317,13.990538670807624,0.9990612449870819,0.8927881628089234,0.09845794383378415,0.6417445482866043,0.7133956386292835,0.7881619937694704,0.8037383177570093
ch05_setter_pounce_count_before_certainty,candidate_would_win_now,true,321,317,13.990538670807624,0.9990612449870819,0.8927881628089234,0.09845794383378415,0.6417445482866043,0.7133956386292835,0.7881619937694704,0.8037383177570093
ch05_setter_pounce_count_before_certainty,count_points,10,158,158,14.741485304319996,1.0058215728288964,0.8813291125093834,0.1110759490358207,0.6518987341772152,0.7341772151898734,0.8291139240506329,0.8481012658227848
ch05_setter_pounce_count_before_certainty,count_points,5,163,163,13.262627210102382,0.9925082891649549,0.9038957084980479,0.0862269940060432,0.6319018404907976,0.6932515337423313,0.7484662576687117,0.7607361963190185
ch05_setter_pounce_count_before_certainty,current_winner_team,offense,321,317,13.990538670807624,0.9990612449870819,0.8927881628089234,0.09845794383378415,0.6417445482866043,0.7133956386292835,0.7881619937694704,0.8037383177570093
ch05_setter_pounce_count_before_certainty,decl,blanks,58,58,14.732809243531063,0.8608880865162817,0.8993965546632635,0.08956896521729128,0.6379310344827587,0.6379310344827587,0.7931034482758621,0.7931034482758621
ch05_setter_pounce_count_before_certainty,decl,fives,58,54,18.56849103189748,0.7950581682139429,0.9510344842384602,0.045086206900405476,0.7586206896551724,0.7413793103448276,0.8793103448275862,0.896551724137931
ch05_setter_pounce_count_before_certainty,decl,fours,62,62,14.845912898297332,1.256002249256257,0.9094354829961254,0.08669354727551822,0.4838709677419355,0.6290322580645161,0.8064516129032258,0.8225806451612904
ch05_setter_pounce_count_before_certainty,decl,ones,41,41,12.106007557453179,1.0165490494705964,0.8686585389986271,0.12756097789217785,0.6585365853658537,0.7804878048780488,0.7317073170731707,0.7073170731707317
ch05_setter_pounce_count_before_certainty,decl,sixes,37,37,12.589551025749865,1.3791037936871116,0.8487837805941298,0.1481081066099373,0.6216216216216216,0.6756756756756757,0.7027027027027027,0.7567567567567568
ch05_setter_pounce_count_before_certainty,decl,threes,32,32,9.481587188784033,0.9614267945289612,0.8492187522351742,0.12562500007334165,0.71875,0.8125,0.8125,0.84375
ch05_setter_pounce_count_before_certainty,decl,twos,33,33,11.317285145774033,0.7063826846353936,0.8690909093076532,0.11181818231037169,0.6666666666666666,0.8181818181818182,0.7272727272727273,0.7575757575757576
ch05_setter_pounce_count_before_certainty,later_seats_remaining,1,42,42,14.61268134335322,0.832037573768979,0.9447619035130456,0.04523809631133363,0.6666666666666666,0.7619047619047619,0.9047619047619048,0.9285714285714286
ch05_setter_pounce_count_before_certainty,later_seats_remaining,2,279,275,13.896882784617965,1.0242045933424953,0.8849641588319587,0.10646953378340036,0.6379928315412187,0.7060931899641577,0.7706093189964157,0.7849462365591398
ch05_setter_pounce_count_before_certainty,seat_role,left_setter,215,212,14.242365893427023,1.1293874482997845,0.8827441869086997,0.10690697690168785,0.6232558139534884,0.6790697674418604,0.7674418604651163,0.7906976744186046
ch05_setter_pounce_count_before_certainty,seat_role,right_setter,106,105,13.479757040022996,0.7347203609094305,0.9131603780782448,0.08132075412058325,0.6792452830188679,0.7830188679245284,0.8301886792452831,0.8301886792452831
ch05_setter_pounce_count_before_certainty,sets_now_label,false,216,214,13.52069527864525,1.234692903499106,0.8797222236516299,0.1138888888311124,0.6064814814814815,0.6574074074074074,0.7453703703703703,0.7638888888888888
ch05_setter_pounce_count_before_certainty,sets_now_label,true,105,104,14.95707364897022,0.5143332617623465,0.9196666662182127,0.06671428555356605,0.7142857142857143,0.8285714285714286,0.8761904761904762,0.8857142857142857
ch05_setter_pounce_count_before_certainty,team,defense,321,317,13.990538670807624,0.9990612449870819,0.8927881628089234,0.09845794383378415,0.6417445482866043,0.7133956386292835,0.7881619937694704,0.8037383177570093
ch05_setter_pounce_count_before_certainty,trick_idx,0,60,59,15.983045637607574,1.2772338391145845,0.8675000011920929,0.1258333333147069,0.6,0.6666666666666666,0.7666666666666667,0.7333333333333333
ch05_setter_pounce_count_before_certainty,trick_idx,1,64,63,15.762251041363925,1.393097285181284,0.8867187504656613,0.10726562536729034,0.46875,0.625,0.59375,0.640625
ch05_setter_pounce_count_before_certainty,trick_idx,2,54,52,14.903863833182388,0.9701061855863642,0.8914814823203616,0.10305555577010468,0.6481481481481481,0.7222222222222222,0.8148148148148148,0.7962962962962963
ch05_setter_pounce_count_before_certainty,trick_idx,3,52,52,12.138864055275917,0.6302594038156363,0.8910576941875311,0.09461538531244375,0.6730769230769231,0.7115384615384616,0.8269230769230769,0.9038461538461539
ch05_setter_pounce_count_before_certainty,trick_idx,4,45,45,12.022300378284935,0.8260281562805176,0.9004444450139999,0.0974444428872731,0.6888888888888889,0.7555555555555555,0.8666666666666667,0.8888888888888888
ch05_setter_pounce_count_before_certainty,trick_idx,5,34,34,10.846979723805013,0.958115087931647,0.9055882350486868,0.06823529324987355,0.7941176470588235,0.7941176470588235,0.9117647058823529,0.9117647058823529
ch05_setter_pounce_count_before_certainty,trick_position,1,279,275,13.896882784617965,1.0242045933424953,0.8849641588319587,0.10646953378340036,0.6379928315412187,0.7060931899641577,0.7706093189964157,0.7849462365591398
ch05_setter_pounce_count_before_certainty,trick_position,2,42,42,14.61268134335322,0.832037573768979,0.9447619035130456,0.04523809631133363,0.6666666666666666,0.7619047619047619,0.9047619047619048,0.9285714285714286
ch05_setter_pounce_count,candidate_beats_current,true,453,442,16.611464095288564,1.07491425419289,0.9203642391934826,0.07295805731249631,0.6534216335540839,0.7306843267108167,0.8388520971302428,0.8520971302428256
ch05_setter_pounce_count,candidate_would_win_now,true,453,442,16.611464095288564,1.07491425419289,0.9203642391934826,0.07295805731249631,0.6534216335540839,0.7306843267108167,0.8388520971302428,0.8520971302428256
ch05_setter_pounce_count,count_points,10,224,224,17.154121686199296,1.205600794404745,0.9134598207393927,0.08066964259653885,0.6473214285714286,0.7232142857142857,0.8660714285714286,0.8839285714285714
ch05_setter_pounce_count,count_points,5,229,229,16.080654923393347,0.9470811318895905,0.9271179061529418,0.0654148472529962,0.6593886462882096,0.7379912663755459,0.8122270742358079,0.8209606986899564
ch05_setter_pounce_count,current_winner_team,offense,453,442,16.611464095288564,1.07491425419289,0.9203642391934826,0.07295805731249631,0.6534216335540839,0.7306843267108167,0.8388520971302428,0.8520971302428256
ch05_setter_pounce_count,decl,blanks,71,71,16.13146296689208,0.7265544945085552,0.9154929598452339,0.07542253491586783,0.676056338028169,0.676056338028169,0.8169014084507042,0.8169014084507042
ch05_setter_pounce_count,decl,fives,82,74,19.940983676692333,1.2808907904276035,0.9576829286610208,0.03829268288866776,0.7073170731707317,0.7195121951219512,0.8902439024390244,0.9024390243902439
ch05_setter_pounce_count,decl,fours,98,95,17.259010818259487,1.228659099462081,0.9392857139511984,0.057857142172145604,0.5510204081632653,0.6530612244897959,0.8673469387755102,0.8877551020408163
ch05_setter_pounce_count,decl,ones,53,53,15.44459607831712,0.7863870005338576,0.8909433984531546,0.1050943413151885,0.660377358490566,0.8301886792452831,0.7735849056603774,0.7547169811320755
ch05_setter_pounce_count,decl,sixes,54,54,16.540940197943538,0.9659772831256743,0.8963888867033852,0.10148148045495704,0.6666666666666666,0.7407407407407407,0.7962962962962963,0.8333333333333334
ch05_setter_pounce_count,decl,threes,48,48,13.631474546156824,1.1883449989060562,0.8976041687031587,0.08562500006519258,0.7083333333333334,0.8125,0.875,0.8958333333333334
ch05_setter_pounce_count,decl,twos,47,47,14.617670250699875,1.255900153454314,0.9071276593715587,0.07925531949768676,0.6595744680851063,0.7872340425531915,0.8085106382978723,0.8297872340425532
ch05_setter_pounce_count,later_seats_remaining,0,132,125,22.985078195730846,1.2593749811251957,0.987424243128661,0.010946969635728183,0.6818181818181818,0.7727272727272727,0.9621212121212122,0.9696969696969697
ch05_setter_pounce_count,later_seats_remaining,1,42,42,14.61268134335322,0.832037573768979,0.9447619035130456,0.04523809631133363,0.6666666666666666,0.7619047619047619,0.9047619047619048,0.9285714285714286
ch05_setter_pounce_count,later_seats_remaining,2,279,275,13.896882784617965,1.0242045933424953,0.8849641588319587,0.10646953378340036,0.6379928315412187,0.7060931899641577,0.7706093189964157,0.7849462365591398
ch05_setter_pounce_count,seat_role,left_setter,261,258,15.187796474687783,1.1904316942079949,0.9026245218469722,0.08875478940063167,0.6436781609195402,0.6934865900383141,0.8045977011494253,0.8275862068965517
ch05_setter_pounce_count,seat_role,right_setter,192,184,18.546762267042748,0.9178827341723567,0.9444791674613953,0.051484374630187325,0.6666666666666666,0.78125,0.8854166666666666,0.8854166666666666
ch05_setter_pounce_count,sets_now_label,false,281,275,15.341049596203286,1.3429851149547734,0.9016370121058196,0.09268683266703344,0.6120996441281139,0.6654804270462633,0.7864768683274022,0.8042704626334519
ch05_setter_pounce_count,sets_now_label,true,172,170,18.68696685251509,0.6369612781807433,0.9509593020518159,0.04072674408793276,0.7209302325581395,0.8372093023255814,0.9244186046511628,0.9302325581395349
ch05_setter_pounce_count,team,defense,453,442,16.611464095288564,1.07491425419289,0.9203642391934826,0.07295805731249631,0.6534216335540839,0.7306843267108167,0.8388520971302428,0.8520971302428256
