contrast_id,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch05_pounce_count_vs_other_same_decision,359,4.1018437380136525,3.144433082034187,5.160550513320448,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_pounce_sets_now_vs_other_same_decision,134,6.068571160912319,4.275596965577647,8.086294333939788,-6.068571160912319,0.07298507332913022,-0.06429104440247835
ch05_reckless_count_vs_nonreckless_same_decision,1355,-8.372450999124148,-8.996552823548845,-7.780077403755524,8.372450999124148,-0.11901107039646248,0.11657195598766812
ch04_safe_partner_count_vs_other_same_decision,400,0.682629239037633,0.15082194730918855,1.2283574617542325,-0.682629239037633,0.006550001837313175,-0.010087499802466482
ch04_unsafe_partner_count_vs_nonunsafe_same_decision,559,-8.428134944293255,-9.284846945584222,-7.570213961342187,8.428134944293255,-0.13218246836195266,0.10717352470033177
