base_contrast_id,contrast_id,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__candidate_beats_current=true,candidate_beats_current,true,43,4.22741942000467,1.9160697231618795,6.461057596818305,-4.22741942000467,0.05197674261276112,-0.040697674375287325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__candidate_would_win_now=true,candidate_would_win_now,true,43,4.22741942000467,2.139021850377321,6.708219322506444,-4.22741942000467,0.05197674261276112,-0.040697674375287325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__count_points=10,count_points,10,16,3.011333892500261,-1.4014391177675862,7.171250631473949,-3.011333892500261,0.034062497317790985,-0.03437500074505806
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__count_points=5,count_points,5,27,4.9480626955628395,1.394540121157964,7.936324731253637,-4.9480626955628395,0.06259259167644712,-0.0444444439339417
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__current_winner_team=offense,current_winner_team,offense,43,4.22741942000467,1.6038059406827183,6.967994386696006,-4.22741942000467,0.05197674261276112,-0.040697674375287325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=blanks,decl,blanks,8,2.9981463607400656,0.02858397364616395,6.39775860118679,-2.9981463607400656,0.03187500685453415,-0.036250001983717084
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=fives,decl,fives,8,4.290936470031738,-0.5341688260436058,10.062284268438813,-4.290936470031738,0.07124999910593033,-0.0625
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=fours,decl,fours,6,4.747775461291894,-6.212037149892422,17.929772693273843,-4.747775461291894,0.0716666579246521,-0.07083333283662796
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=ones,decl,ones,6,4.638392448425293,0.3424981435139974,8.91858688990275,-4.638392448425293,0.07583333055178325,-0.07333333479861419
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=sixes,decl,sixes,7,3.41226243440594,-2.133804210807596,9.532994549615037,-3.41226243440594,0.07571428694895335,-0.014285714498588018
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=threes,decl,threes,5,5.1265902608633045,-4.559844548851252,15.699433659464102,-5.1265902608633045,-0.006000006198883056,0.004000002145767212
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=0,later_seats_remaining,0,10,5.176733672618866,-3.9575868475437166,12.013443023860445,-5.176733672618866,0.02849999666213989,-0.02350000012665987
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=1,later_seats_remaining,1,8,6.915922230109572,1.250180807337165,12.52979954592883,-6.915922230109572,0.051249995827674866,-0.048124996945261955
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=2,later_seats_remaining,2,25,2.987372819725424,0.28780384550895544,6.007340410836039,-2.987372819725424,0.06159999996423721,-0.04520000085234642
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__seat_role=left_setter,seat_role,left_setter,23,3.1479564477568087,0.41625275780325355,5.838748444390034,-3.1479564477568087,0.04434782266616821,-0.043695651318715965
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__seat_role=right_setter,seat_role,right_setter,20,5.468801838089712,1.6437320091569565,10.254964776867997,-5.468801838089712,0.06075000055134296,-0.03725000089034438
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__sets_now_label=false,sets_now_label,false,22,1.9492724398997696,-0.14628900849175724,4.690775167408651,-1.9492724398997696,0.019772727381099354,-0.019318182444707913
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__sets_now_label=true,sets_now_label,true,21,6.614049589638377,2.655554380965242,10.765577608862488,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__team=defense,team,defense,43,4.22741942000467,2.154341743605179,6.945675268274092,-4.22741942000467,0.05197674261276112,-0.040697674375287325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=0,trick_idx,0,8,9.412985315546393,4.489587460132316,17.118605786515392,-9.412985315546393,0.06812500208616257,-0.06437500286847353
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=1,trick_idx,1,5,0.11028947830200195,-0.919168450832367,1.271916940212248,-0.11028947830200195,0.001999986171722412,-0.0009999979287385941
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=2,trick_idx,2,8,5.689478427171707,2.3379280656576156,8.629356208443642,-5.689478427171707,0.08999998867511749,-0.08437499683350325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=3,trick_idx,3,7,3.0867201260157993,-1.8085474405969892,6.509718428339276,-3.0867201260157993,0.09928571858576365,-0.03714285684483392
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=4,trick_idx,4,7,-1.1667595880239137,-7.486391270268776,5.458254415674934,1.1667595880239137,0.04499999965940203,-0.049285715711968284
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=5,trick_idx,5,8,5.871019245125353,-3.008922506286763,14.62799448978621,-5.871019245125353,-0.0062499940395355225,0.00624999962747097
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_position=1,trick_position,1,25,2.987372819725424,-0.2965171655677259,5.570883268188217,-2.987372819725424,0.06159999996423721,-0.04520000085234642
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_position=2,trick_position,2,8,6.915922230109572,0.3330333231948317,13.12903826204128,-6.915922230109572,0.051249995827674866,-0.048124996945261955
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_position=3,trick_position,3,10,5.176733672618866,-1.852767330408096,13.759446780681595,-5.176733672618866,0.02849999666213989,-0.02350000012665987
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__candidate_beats_current=true,candidate_beats_current,true,21,6.614049589638377,2.8109509128423054,10.888201615640096,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__candidate_would_win_now=true,candidate_would_win_now,true,21,6.614049589638377,2.795207608318223,10.887983073284182,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__count_points=10,count_points,10,5,4.716979033965617,-2.4945938920602204,15.585566437432995,-4.716979033965617,0.03499999046325684,-0.03700000047683716
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__count_points=5,count_points,5,16,7.206884138286114,3.0766432486474513,13.001228080503639,-7.206884138286114,0.10156249860301614,-0.07124999887309968
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__current_winner_team=offense,current_winner_team,offense,21,6.614049589638377,3.119719978518385,10.42202607223409,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__decl=ones,decl,ones,5,3.6433431625366213,0.09471721649169922,10.096968245506286,-3.6433431625366213,0.07200000286102295,-0.07199999913573266
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__later_seats_remaining=0,later_seats_remaining,0,6,7.278385142485301,1.6388939221700032,17.00860981941223,-7.278385142485301,0.02583332856496175,-0.020833333333333332
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__later_seats_remaining=1,later_seats_remaining,1,5,10.26772165298462,4.502102375030518,17.220474162101745,-10.26772165298462,0.09499999284744262,-0.0879999965429306
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__later_seats_remaining=2,later_seats_remaining,2,10,4.3886122262571,-0.433236039688345,9.97843740880489,-4.3886122262571,0.11699999943375587,-0.07600000016391277
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__seat_role=left_setter,seat_role,left_setter,9,5.367615620295207,0.38473559816678365,9.414526447984908,-5.367615620295207,0.07388888465033637,-0.07111110786596934
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__seat_role=right_setter,seat_role,right_setter,12,7.548875066645754,2.665734361844564,14.419579079825773,-7.548875066645754,0.09458333067595959,-0.057083334463338055
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__sets_now_label=true,sets_now_label,true,21,6.614049589638377,2.666165808079365,10.787151765823364,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__team=defense,team,defense,21,6.614049589638377,2.887698106502649,10.76019040293869,-6.614049589638377,0.08571428237926393,-0.06309523735018004
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_idx=2,trick_idx,2,7,5.092413527624948,1.5375102622168404,9.149682837724686,-5.092413527624948,0.0971428496497018,-0.09142856725624629
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_idx=4,trick_idx,4,5,1.06772294761613,-4.878695254495833,8.664436452218794,-1.06772294761613,0.06299999952316285,-0.0690000019967556
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_idx=5,trick_idx,5,5,11.807378768920898,4.232056365013123,19.693512129783628,-11.807378768920898,0.0,0.0
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_position=1,trick_position,1,10,4.3886122262571,0.4249353988014628,9.848307527501598,-4.3886122262571,0.11699999943375587,-0.07600000016391277
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_position=2,trick_position,2,5,10.26772165298462,3.4179598879814153,18.731749780178067,-10.26772165298462,0.09499999284744262,-0.0879999965429306
ch05_pounce_sets_now_vs_other_same_decision,ch05_pounce_sets_now_vs_other_same_decision__trick_position=3,trick_position,3,6,7.278385142485301,0.9666848421096801,17.007523997624713,-7.278385142485301,0.02583332856496175,-0.020833333333333332
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__candidate_beats_current=false,candidate_beats_current,false,160,-8.26225248569681,-9.604480983661414,-6.650628511744289,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__candidate_would_win_now=false,candidate_would_win_now,false,160,-8.26225248569681,-10.042881747435459,-7.104073435436003,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__count_points=10,count_points,10,47,-12.30720428329833,-15.845314843381972,-9.66166289516903,12.30720428329833,-0.19978723579898794,0.2010638291372898
