claim_label,action_n,decision_n,mean_regret,mean_regret_ci95_low,mean_regret_ci95_high,mean_threshold_gap,mean_threshold_gap_ci95_low,mean_threshold_gap_ci95_high,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch05_setter_pounce_count_before_certainty,41,40,1.0833961914588766,0.5066787906172799,2.0602403420500632,0.007195122358275623,0.0029847569218496,0.014454268282506524,0.8762195124858763,0.11902439040018291,0.7073170731707317,0.7317073170731707,0.8292682926829268,0.8292682926829268
ch05_setter_pounce_count,52,50,1.2071563471108675,0.4689680136167086,2.181480777750794,0.005673077244025011,0.0017307704171309105,0.00985817344715962,0.9020192313652772,0.09403846165738426,0.6923076923076923,0.75,0.8653846153846154,0.8653846153846154
ch05_setter_pounce_count_sets_now,24,22,0.7178652882575989,0.16325438022613525,1.4076052819689113,0.004375000794728597,0.0,0.009078126276532802,0.9364583343267441,0.06145833261931936,0.625,0.8333333333333334,0.875,0.9166666666666666
ch05_reckless_count_to_bidder,238,212,6.685520619179412,5.560528226682678,7.983887871766479,0.10825630221437632,0.08453571372244804,0.1280598741547134,0.43987394939372393,0.5451260499710984,0.3025210084033613,0.3025210084033613,0.41596638655462187,0.41596638655462187
ch04_partner_safe_count_donation_current_control,73,59,1.6007452174408796,1.100731839709086,2.3505890078740572,0.033835614993147654,0.018551368919545657,0.0501301341677365,0.48664383610633954,0.09486301429569721,0.6027397260273972,0.6164383561643836,0.6575342465753424,0.726027397260274
ch04_partner_unsafe_count_to_defense,68,61,8.80065474308589,6.144899694533909,11.128680520800543,0.15338235300527336,0.10090257314115982,0.21855330924188496,0.055514705435865945,0.49985294065931263,0.3382352941176471,0.3382352941176471,0.4411764705882353,0.5294117647058824
