claim_label,slice_name,slice_value,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch05_setter_pounce_count_before_certainty,candidate_beats_current,true,41,40,10.409504836618265,1.0833961914588766,0.8762195124858763,0.11902439040018291,0.7073170731707317,0.7317073170731707,0.8292682926829268,0.8292682926829268
ch05_setter_pounce_count_before_certainty,candidate_would_win_now,true,41,40,10.409504836618265,1.0833961914588766,0.8762195124858763,0.11902439040018291,0.7073170731707317,0.7317073170731707,0.8292682926829268,0.8292682926829268
ch05_setter_pounce_count_before_certainty,count_points,10,21,21,10.551660046269674,1.468323684874035,0.8490476154145741,0.14595238119363785,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.8571428571428571
ch05_setter_pounce_count_before_certainty,count_points,5,20,20,10.260241866484284,0.6792223233729601,0.9047500044107437,0.09075000006705522,0.75,0.75,0.8,0.8
ch05_setter_pounce_count_before_certainty,current_winner_team,offense,41,40,10.409504836618265,1.0833961914588766,0.8762195124858763,0.11902439040018291,0.7073170731707317,0.7317073170731707,0.8292682926829268,0.8292682926829268
ch05_setter_pounce_count_before_certainty,decl,blanks,6,6,13.79969080289205,0.7795844872792562,0.9033333460489908,0.08500000089406967,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0
ch05_setter_pounce_count_before_certainty,decl,fives,9,8,13.297770182291666,1.3762216567993164,0.9399999976158142,0.058888889021343656,0.6666666666666666,0.5555555555555556,1.0,0.8888888888888888
ch05_setter_pounce_count_before_certainty,decl,fours,7,7,10.552206268068403,0.0,0.8428571394511631,0.14857142525059835,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571
ch05_setter_pounce_count_before_certainty,decl,sixes,8,8,11.301288123242557,1.7240191148594022,0.8762499988079071,0.12187499832361937,0.625,0.5,0.625,0.625
ch05_setter_pounce_count_before_certainty,later_seats_remaining,1,9,9,15.941644885473782,0.6595853169759115,0.9366666674613953,0.06055555740992228,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7777777777777778
ch05_setter_pounce_count_before_certainty,later_seats_remaining,2,32,31,8.85359044787765,1.2025929999072105,0.8592187501490116,0.1354687496786937,0.71875,0.6875,0.84375,0.84375
ch05_setter_pounce_count_before_certainty,seat_role,left_setter,27,26,12.268179241705823,0.6928688331886574,0.8825925919744704,0.11111111249084826,0.7037037037037037,0.7037037037037037,0.8148148148148148,0.8148148148148148
ch05_setter_pounce_count_before_certainty,seat_role,right_setter,14,14,6.824918483949399,1.836556096694299,0.8639285734721592,0.13428571208247117,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8571428571428571
ch05_setter_pounce_count_before_certainty,sets_now_label,false,24,24,9.100681563528875,1.2132783547664683,0.852083332836628,0.14187500098099312,0.75,0.6666666666666666,0.8333333333333334,0.7916666666666666
ch05_setter_pounce_count_before_certainty,sets_now_label,true,17,16,12.257255339803283,0.9000331373775706,0.9102941190495211,0.08676470487433321,0.6470588235294118,0.8235294117647058,0.8235294117647058,0.8823529411764706
ch05_setter_pounce_count_before_certainty,team,defense,41,40,10.409504836618265,1.0833961914588766,0.8762195124858763,0.11902439040018291,0.7073170731707317,0.7317073170731707,0.8292682926829268,0.8292682926829268
ch05_setter_pounce_count_before_certainty,trick_idx,0,8,8,9.906489908695221,0.14585578441619873,0.8193750008940697,0.1674999985843897,0.875,0.875,1.0,0.875
ch05_setter_pounce_count_before_certainty,trick_idx,1,5,5,11.177709484100342,0.5076334953308106,0.796999990940094,0.19700000286102295,0.6,0.4,0.6,0.6
ch05_setter_pounce_count_before_certainty,trick_idx,2,7,6,10.35813467843192,0.5694710867745536,0.9199999911444527,0.07714285914387022,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571
ch05_setter_pounce_count_before_certainty,trick_idx,3,6,6,4.003848632176717,1.056440035502116,0.8766666750113169,0.12166666736205418,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
ch05_setter_pounce_count_before_certainty,trick_idx,4,7,7,11.539116883716945,1.616323675428118,0.8942857214382717,0.10142856889537402,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.8571428571428571
ch05_setter_pounce_count_before_certainty,trick_idx,5,7,7,12.387130738369056,2.7250037927712714,0.9178571445601327,0.08214285756860461,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571
ch05_setter_pounce_count_before_certainty,trick_position,1,32,31,8.85359044787765,1.2025929999072105,0.8592187501490116,0.1354687496786937,0.71875,0.6875,0.84375,0.84375
ch05_setter_pounce_count_before_certainty,trick_position,2,9,9,15.941644885473782,0.6595853169759115,0.9366666674613953,0.06055555740992228,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7777777777777778
ch05_setter_pounce_count,candidate_beats_current,true,52,50,13.494287430066974,1.2071563471108675,0.9020192313652772,0.09403846165738426,0.6923076923076923,0.75,0.8653846153846154,0.8653846153846154
ch05_setter_pounce_count,candidate_would_win_now,true,52,50,13.494287430066974,1.2071563471108675,0.9020192313652772,0.09403846165738426,0.6923076923076923,0.75,0.8653846153846154,0.8653846153846154
ch05_setter_pounce_count,count_points,10,25,25,11.919781691674142,1.9675073432922363,0.8723999977111816,0.1230000001937151,0.64,0.68,0.88,0.88
ch05_setter_pounce_count,count_points,5,27,27,14.952163113764039,0.5031276469429334,0.929444447711662,0.06722222227189276,0.7407407407407407,0.8148148148148148,0.8518518518518519,0.8518518518518519
ch05_setter_pounce_count,current_winner_team,offense,52,50,13.494287430066974,1.2071563471108675,0.9020192313652772,0.09403846165738426,0.6923076923076923,0.75,0.8653846153846154,0.8653846153846154
ch05_setter_pounce_count,decl,blanks,8,8,13.72947758436203,0.5846883654594421,0.9275000095367432,0.06375000067055225,0.875,0.875,0.875,1.0
ch05_setter_pounce_count,decl,fives,11,10,14.56325981833718,1.1259995373812588,0.9490909088741649,0.04909090917896141,0.7272727272727273,0.6363636363636364,1.0,0.9090909090909091
ch05_setter_pounce_count,decl,fours,10,9,14.024650161573664,1.8352886199951173,0.8899999976158142,0.10399999767541886,0.6,0.8,0.9,0.9
ch05_setter_pounce_count,decl,ones,7,7,18.538705553327286,0.0,0.9078571455819267,0.09071428701281548,0.7142857142857143,1.0,1.0,1.0
ch05_setter_pounce_count,decl,sixes,8,8,11.301288123242557,1.7240191148594022,0.8762499988079071,0.12187499832361937,0.625,0.5,0.625,0.625
ch05_setter_pounce_count,decl,threes,5,5,6.218918237090111,2.712717819213867,0.8319999933242798,0.1650000035762787,0.6,0.6,0.8,0.8
ch05_setter_pounce_count,later_seats_remaining,0,11,10,24.99211346019398,1.668444199995561,0.9981818199157715,0.0009090908887711438,0.6363636363636364,0.8181818181818182,1.0,1.0
ch05_setter_pounce_count,later_seats_remaining,1,9,9,15.941644885473782,0.6595853169759115,0.9366666674613953,0.06055555740992228,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7777777777777778
ch05_setter_pounce_count,later_seats_remaining,2,32,31,8.85359044787765,1.2025929999072105,0.8592187501490116,0.1354687496786937,0.71875,0.6875,0.84375,0.84375
ch05_setter_pounce_count,seat_role,left_setter,29,28,12.007816332681426,1.2114531418372845,0.8906896545969206,0.10344827714665182,0.6896551724137931,0.6896551724137931,0.8275862068965517,0.8275862068965517
ch05_setter_pounce_count,seat_role,right_setter,23,22,15.368533596335707,1.2017386494123417,0.916304349899292,0.0821739116926556,0.6956521739130435,0.8260869565217391,0.9130434782608695,0.9130434782608695
